date,actual_normalized,lstm_pred_normalized,kf_pred_normalized,kf_corrected_normalized,actual_value,lstm_pred_value,kf_pred_value,kf_corrected_value,lstm_error,kf_pred_error,kf_corrected_error,kf_error,kf_gain,kf_error_cov
2025-11-10,1.069325891091938,1.0519757270812988,1.0950560994591032,1.0723155459952665,50911.76171875,50328.30308379978,51777.02802065268,51012.299095099785,583.4586349502206,865.2663019026804,100.53737634978461,100.53737634978461,0.8215909376568528,6.816753848562871e-05
2025-11-11,1.0672790501338385,1.0557806491851807,1.096918076126142,1.0719114288017937,50842.9296875,50456.25660951063,51839.64335753326,50998.709271630745,386.67307798936963,996.713670033263,155.7795841307452,155.7795841307452,0.843734154137322,5.711992115881582e-05
2025-11-12,1.0738324027434012,1.0591055154800415,1.0954411743821622,1.0808320939675249,51063.30859375,50568.06661595218,51789.97748261879,51298.69716322957,495.24197779782116,726.6688888687931,235.3885694795681,235.3885694795681,0.7105318351171276,4.599676694218246e-05
2025-11-13,1.0803304635820057,1.0623230934143066,1.0934206099687225,1.083358467037884,51281.828125000015,50676.26868414134,51722.02909009803,51383.65510265325,605.5594408586767,440.20096509801806,101.82697765323246,101.82697765323246,0.8271922099118182,5.276440533894376e-05
2025-11-14,1.0534098760395667,1.0656218528747559,1.09886930650576,1.0631452123653156,50376.53125000001,50787.20075894147,51905.26015591438,50703.915247057295,410.6695089414643,1528.7289059143732,327.38399705728807,327.38399705728807,0.795762133405833,8.03214264378565e-05
2025-11-17,1.0518450956896117,1.0675328969955444,1.091138196093321,1.0612529971854738,50323.91015625001,50851.46615685709,51645.27511340268,50640.283036711306,527.5560006070809,1321.3649571526694,316.37288046129834,316.37288046129834,0.8146027410730181,6.650164635641971e-05
2025-11-18,1.0036439135608413,1.0685076713562012,1.0872702526385205,1.0245014939114632,48702.98046875001,50884.24628029019,51515.202279116,49404.387980072424,2181.265811540179,2812.2218103659907,701.4075113224171,701.4075113224171,0.7392379133011802,3.3043814848682434e-05
2025-11-19,0.9987289862230564,1.066525936126709,1.068435877848063,1.0116371396669404,48537.69921875,50817.60365194827,50881.83197791063,48971.780048388166,2279.904433198273,2344.1327591606314,434.0808296381656,434.0808296381656,0.8063752824167868,9.265608868832165e-05
2025-11-20,1.036977649579341,1.0626769065856934,1.0542542795374474,1.0409650764365987,49823.94140625,50688.16686273366,50404.92720705946,49958.03227880156,864.2254564836621,580.9858008094598,134.09087255156192,134.09087255156192,0.7919635732411199,3.798317497157007e-05
2025-11-21,1.0013511636129966,1.0597540140151978,1.0504412364628464,1.0081626257293999,48625.87890625,50589.87459827773,50276.70058591923,48854.937627885985,1963.9956920277327,1650.8216796692286,229.05872163598542,229.05872163598542,0.8211981226260736,6.0000207176694116e-05
